Key,en,ko,reviewed
Alert Bits,Alert Bits,비트 알림,False
Alert Donation,Alert Donation,후원 알림,False
Alert Heart,Alert Heart,하트 알림,False
Alert Like,Alert Like,좋아요 알림,False
Alert Star,Alert Star,별 알림,False
Angry,Angry,화남,False
Arrive,Arrive,등장,False
Arrive (with Chopstick),Arrive (with Chopstick),등장(젓가락),False
Arrive (with Spoon),Arrive (with Spoon),등장(숟가락),False
Bonk,Bonk,머리 때리기,False
Copium,Copium,행복회로,False
Crowbar 1,Crowbar 1,쇠지렛대 1,False
Crowbar 2,Crowbar 2,쇠지렛대 2,False
Crowbar 3,Crowbar 3,쇠지렛대 3,False
Cry 1,Cry 1,울음 1,False
Cry 2,Cry 2,울음 2,False
Cry 3,Cry 3,울음 3,False
Dead,Dead,사망,False
Dizzy,Dizzy,어지러움,False
Drink (Beverage Cup),Drink (Beverage Cup),마시기(음료 컵),False
Drive,Drive,운전하기,False
Drooling (Chopstick),Drooling (Chopstick),침 흘림(젓가락),False
Drooling (Fork&Knife),Drooling (Fork&Knife),침 흘림(포크&나이프),False
Dum 1,Dum 1,바보 1,False
Dum 2,Dum 2,바보 2,False
Dum 3,Dum 3,바보 3,False
Dum Sticker 1,Dum Sticker 1,바보 포스트잇 1,False
Dum Sticker 2,Dum Sticker 2,바보 포스트잇 2,False
Dum Sticker 3,Dum Sticker 3,바보 포스트잇 3,False
Exclamation,Exclamation,느낌표,False
Jail 1,Jail 1,감옥 1,False
Jail 2,Jail 2,감옥 2,False
Knife 1,Knife 1,칼 1,False
Knife 2,Knife 2,칼 2,False
Laugh,Laugh,웃음,False
Lick,Lick,핥기,False
Lightstick 1,Lightstick 1,응원봉 1,False
Lightstick 2,Lightstick 2,응원봉 2,False
Lurk 1,Lurk 1,몰래 보기 1,False
Lurk 2,Lurk 2,몰래 보기 2,False
Luv 1,Luv 1,하트 1,False
Luv 2,Luv 2,하트 2,False
Luv 3,Luv 3,하트 3,False
Money,Money,돈,False
Mute 1,Mute 1,음소거 1,False
Mute 2,Mute 2,음소거 2,False
Nervous 1,Nervous 1,안절부절 1,False
Nervous 2,Nervous 2,안절부절 2,False
Noted 1,Noted 1,메모 1,False
Noted 2,Noted 2,메모 2,False
Pat,Pat,쓰담쓰담,False
Point,Point,가리키기,False
Question,Question,물음표,False
Raid 1,Raid 1,레이드 1,False
Raid 2,Raid 2,레이드 2,False
RedPacket 1,RedPacket 1,용돈 봉투 1,False
RedPacket 2,RedPacket 2,용돈 봉투 2,False
Rose,Rose,장미,False
Score (0 Point),Score (0 Point),점수 (0점),False
Score (10 Point),Score (10 Point),점수 (10점),False
Shy 1,Shy 1,수줍음 1,False
Shy 2,Shy 2,수줍음 2,False
Sleep (Normal),Sleep (Normal),수면(일반),False
Sleep (Preparing Stage 1),Sleep (Preparing Stage 1),수면 (준비 1단계),False
Sleep (Preparing Stage 2),Sleep (Preparing Stage 2),수면 (준비 2단계),False
Sleep (UU),Sleep (UU),수면 (UU),False
Sparkling,Sparkling,반짝반짝,False
Surprise,Surprise,놀람,False
Sweat,Sweat,진땀,False
Thumb Down,Thumb Down,싫어요,False
Thumb Up,Thumb Up,좋아요,False
Type Angry,Type Angry,타이핑 (화남),False
Type Annoyed,Type Annoyed,타이핑 (짜증),False
Type Normal,Type Normal,타이핑 (일반),False
Work Angry,Work Angry,업무 (화남),False
Work Nap,Work Nap,업무 (조는 중),False
Work Normal,Work Normal,업무 (일반),False
Work Tired,Work Tired,업무 (피곤),False
Bell,Bell,종 울리기,False
Cake,Cake,케이크,False
Caught in 4K (Phone),Caught in 4K (Phone),딱 걸림 (스마트폰),False
Caught in 4K (Video Camera),Caught in 4K (Video Camera),딱 걸림 (비디오 카메라),False
Celebration,Celebration,축하,False
Head Nod,Head Nod,끄덕끄덕,False
Head Shake,Head Shake,도리도리,False
Hypnosis,Hypnosis,최면,False
Laugh (Point),Laugh (Point),웃기 (가리키기),False
Love Letter,Love Letter,러브레터,False
Need Food,Need Food,배고픔,False
PNGTuber Idle,PNGTuber Idle,PNG튜버 (대기),False
PNGTuber Idle 2,PNGTuber Idle 2,PNG튜버 (대기) 2,False
PNGTuber Talk,PNGTuber Talk,PNG튜버 (말하기),False
PNGTuber Talk 2,PNGTuber Talk 2,PNG튜버 (말하기) 2,False
PNGTuber Yap,PNGTuber Yap,PNG튜버 (수다),False
Popcat Frame,Popcat Frame,팝캣 (프레임),False
Popcat Smooth,Popcat Smooth,팝캣 (부드러움),False
Sing,Sing,노래하기,False
Tablet,Tablet,태블릿,False
Tail Wag,Tail Wag,꼬리 흔들기,False
